"Number";"Name";"Cost";"Type";"Color";"Rarity";"Inkable"
"1";"Ariel - On Human Legs";"4";"Character";"Amber";"Uncommon";"Yes"
"2";"Ariel - Spectacular Singer";"3";"Character";"Amber";"Super Rare";"Yes"
"3";"Cinderella - Gentle and Kind";"4";"Character";"Amber";"Uncommon";"Yes"
"4";"Goofy - Musketeer";"5";"Character";"Amber";"Uncommon";"Yes"
"5";"Hades - King of Olympus";"8";"Character";"Amber";"Rare";"No"
"6";"Hades - Lord of the Underworld";"4";"Character";"Amber";"Rare";"No"
"7";"HeiHei - Boat Snack";"1";"Character";"Amber";"Common";"Yes"
"8";"LeFou - Bumbler";"2";"Character";"Amber";"Uncommon";"Yes"
"9";"Lilo - Making a Wish";"1";"Character";"Amber";"Rare";"No"
"10";"Maximus - Palace Horse";"5";"Character";"Amber";"Super Rare";"Yes"
"11";"Maximus - Relentless Pursuer";"3";"Character";"Amber";"Uncommon";"Yes"
"12";"Mickey Mouse - True Friend";"3";"Character";"Amber";"Uncommon";"Yes"
"13";"Minnie Mouse - Beloved Princess";"2";"Character";"Amber";"Common";"Yes"
"14";"Moana - Of Motunui";"5";"Character";"Amber";"Rare";"Yes"
"15";"Mr. Smee - Loyal First Mate";"3";"Character";"Amber";"Common";"Yes"
"16";"Prince Phillip - Dragonslayer";"4";"Character";"Amber";"Uncommon";"No"
"17";"Pumbaa - Friendly Warthog";"4";"Character";"Amber";"Common";"Yes"
"18";"Rapunzel - Gifted with Healing";"4";"Character";"Amber";"Legendary";"Yes"
"19";"Sebastian - Court Composer";"2";"Character";"Amber";"Common";"Yes"
"20";"Simba - Protective Cub";"2";"Character";"Amber";"Common";"Yes"
"21";"Stitch - Carefree Surfer";"7";"Character";"Amber";"Legendary";"Yes"
"22";"Stitch - New Dog";"1";"Character";"Amber";"Common";"Yes"
"23";"Stitch - Rock Star";"6";"Character";"Amber";"Super Rare";"Yes"
"24";"Timon - Grub Rustler";"1";"Character";"Amber";"Common";"Yes"
"25";"Be Our Guest";"2";"Action";"Amber";"Uncommon";"Yes"
"26";"Control Your Temper!";"1";"Action";"Amber";"Common";"Yes"
"27";"Hakuna Matata";"4";"Action";"Amber";"Common";"Yes"
"28";"Healing Glow";"1";"Action";"Amber";"Common";"Yes"
"29";"Just in Time";"3";"Action";"Amber";"Rare";"No"
"30";"Part of Your World";"3";"Action";"Amber";"Rare";"No"
"31";"You Have Forgotten Me";"4";"Action";"Amber";"Uncommon";"Yes"
"32";"Dinglehopper";"1";"Item";"Amber";"Common";"Yes"
"33";"Lantern";"2";"Item";"Amber";"Rare";"No"
"34";"Ursula's Shell Necklace";"3";"Item";"Amber";"Rare";"No"
"35";"Anna - Heir to Arendelle";"4";"Character";"Amethyst";"Uncommon";"Yes"
"36";"Archimedes - Highly Educated Owl";"1";"Character";"Amethyst";"Common";"Yes"
"37";"Dr. Facilier - Agent Provocateur";"7";"Character";"Amethyst";"Rare";"No"
"38";"Dr. Facilier - Charlatan";"2";"Character";"Amethyst";"Common";"Yes"
"39";"Dr. Facilier - Remarkable Gentleman";"3";"Character";"Amethyst";"Rare";"Yes"
"40";"Elsa - Queen Regent";"4";"Character";"Amethyst";"Common";"Yes"
"41";"Elsa - Snow Queen";"3";"Character";"Amethyst";"Uncommon";"Yes"
"42";"Elsa - Spirit of Winter";"8";"Character";"Amethyst";"Legendary";"No"
"43";"Flotsam - Ursula's Spy";"5";"Character";"Amethyst";"Rare";"No"
"44";"Jafar - Keeper of Secrets";"4";"Character";"Amethyst";"Rare";"Yes"
"45";"Jafar - Wicked Sorcerer";"4";"Character";"Amethyst";"Common";"Yes"
"46";"Jetsam - Ursula's Spy";"4";"Character";"Amethyst";"Common";"Yes"
"47";"Magic Broom - Bucket Brigade";"2";"Character";"Amethyst";"Common";"Yes"
"48";"Maleficent - Biding Her Time";"1";"Character";"Amethyst";"Rare";"No"
"49";"Maleficent - Sorceress";"3";"Character";"Amethyst";"Common";"Yes"
"50";"Marshmallow - Persistent Guardian";"6";"Character";"Amethyst";"Super Rare";"No"
"51";"Mickey Mouse - Wayward Sorcerer";"4";"Character";"Amethyst";"Super Rare";"Yes"
"52";"Olaf - Friendly Snowman";"1";"Character";"Amethyst";"Uncommon";"Yes"
"53";"Pascal - Rapunzel's Companion";"1";"Character";"Amethyst";"Uncommon";"Yes"
"54";"Rafiki - Mysterious Sage";"3";"Character";"Amethyst";"Uncommon";"No"
"55";"Sven - Official Ice Deliverer";"6";"Character";"Amethyst";"Uncommon";"Yes"
"56";"The Queen - Wicked and Vain";"5";"Character";"Amethyst";"Super Rare";"Yes"
"57";"The Wardrobe - Belle's Confidant";"3";"Character";"Amethyst";"Common";"Yes"
"58";"Tinker Bell - Peter Pan's Ally";"5";"Character";"Amethyst";"Common";"No"
"59";"Ursula - Power Hungry";"7";"Character";"Amethyst";"Legendary";"No"
"60";"Yzma - Alchemist";"2";"Character";"Amethyst";"Common";"Yes"
"61";"Zeus - God of Lightning";"4";"Character";"Amethyst";"Rare";"No"
"62";"Befuddle";"1";"Action";"Amethyst";"Uncommon";"Yes"
"63";"Freeze";"2";"Action";"Amethyst";"Common";"No"
"64";"Friends on the Other Side";"3";"Action";"Amethyst";"Common";"Yes"
"65";"Reflection";"1";"Action";"Amethyst";"Uncommon";"Yes"
"66";"Magic Mirror";"2";"Item";"Amethyst";"Rare";"No"
"67";"Ursula's Cauldron";"2";"Item";"Amethyst";"Uncommon";"No"
"68";"White Rabbit's Pocket Watch";"3";"Item";"Amethyst";"Rare";"Yes"
"69";"Aladdin - Prince Ali";"2";"Character";"Emerald";"Common";"Yes"
"70";"Beast - Wolfsbane";"5";"Character";"Emerald";"Legendary";"No"
"71";"Cheshire Cat - Not All There";"3";"Character";"Emerald";"Uncommon";"Yes"
"72";"Cruella De Vil - Miserable as Usual";"2";"Character";"Emerald";"Rare";"Yes"
"73";"Duke of Weselton - Opportunistic Official";"1";"Character";"Emerald";"Common";"Yes"
"74";"Flynn Rider - Charming Rogue";"2";"Character";"Emerald";"Uncommon";"Yes"
"75";"Genie - On the Job";"6";"Character";"Emerald";"Super Rare";"No"
"76";"Genie - Powers Unleashed";"8";"Character";"Emerald";"Rare";"No"
"77";"Genie - The Ever Impressive";"2";"Character";"Emerald";"Common";"Yes"
"78";"Hans - Scheming Prince";"4";"Character";"Emerald";"Rare";"Yes"
"79";"Horace - No-Good Scoundrel";"3";"Character";"Emerald";"Common";"Yes"
"80";"Iago - Loud-Mouthed Parrot";"3";"Character";"Emerald";"Rare";"Yes"
"81";"Jasper - Common Crook";"3";"Character";"Emerald";"Uncommon";"Yes"
"82";"John Silver - Alien Pirate";"6";"Character";"Emerald";"Legendary";"Yes"
"83";"Jumba Jookiba - Renegade Scientist";"5";"Character";"Emerald";"Uncommon";"Yes"
"84";"Kuzco - Temperamental Emperor";"5";"Character";"Emerald";"Rare";"No"
"85";"Lady Tremaine - Wicked Stepmother";"6";"Character";"Emerald";"Rare";"No"
"86";"Mad Hatter - Gracious Host";"5";"Character";"Emerald";"Uncommon";"Yes"
"87";"Megara - Pulling the Strings";"2";"Character";"Emerald";"Common";"Yes"
"88";"Mickey Mouse - Artful Rogue";"7";"Character";"Emerald";"Super Rare";"No"
"89";"Mickey Mouse - Steamboat Pilot";"3";"Character";"Emerald";"Common";"Yes"
"90";"Mother Gothel - Selfish Manipulator";"6";"Character";"Emerald";"Super Rare";"Yes"
"91";"Peter Pan - Never Landing";"3";"Character";"Emerald";"Common";"Yes"
"92";"Tamatoa - Drab Little Crab";"2";"Character";"Emerald";"Uncommon";"Yes"
"93";"Tinker Bell - Most Helpful";"4";"Character";"Emerald";"Common";"Yes"
"94";"Do It Again!";"3";"Action";"Emerald";"Rare";"No"
"95";"Mother Knows Best";"3";"Action";"Emerald";"Uncommon";"No"
"96";"Stampede";"1";"Action";"Emerald";"Common";"No"
"97";"Steal from the Rich";"5";"Action";"Emerald";"Rare";"No"
"98";"Sudden Chill";"2";"Action";"Emerald";"Common";"Yes"
"99";"The Beast is Mine!";"3";"Action";"Emerald";"Uncommon";"Yes"
"100";"Vicious Betrayal";"1";"Action";"Emerald";"Common";"Yes"
"101";"Dr. Facilier's Cards";"2";"Item";"Emerald";"Uncommon";"No"
"102";"Stolen Scimitar";"2";"Item";"Emerald";"Common";"Yes"
"103";"Abu - Mischievous Monkey";"3";"Character";"Ruby";"Common";"Yes"
"104";"Aladdin - Heroic Outlaw";"7";"Character";"Ruby";"Super Rare";"Yes"
"105";"Aladdin - Street Rat";"3";"Character";"Ruby";"Common";"Yes"
"106";"Captain - Colonel's Lieutenant";"5";"Character";"Ruby";"Uncommon";"Yes"
"107";"Captain Hook - Ruthless Pirate";"7";"Character";"Ruby";"Rare";"No"
"108";"Donald Duck - Boisterous Fowl";"2";"Character";"Ruby";"Uncommon";"Yes"
"109";"Elsa - Ice Surfer";"4";"Character";"Ruby";"Common";"Yes"
"110";"Gaston - Arrogant Hunter";"2";"Character";"Ruby";"Common";"Yes"
"111";"Goofy - Daredevil";"5";"Character";"Ruby";"Common";"Yes"
"112";"LeFou - Instigator";"2";"Character";"Ruby";"Rare";"Yes"
"113";"Maleficent - Monstrous Dragon";"9";"Character";"Ruby";"Legendary";"Yes"
"114";"Maui - Hero to All";"5";"Character";"Ruby";"Rare";"Yes"
"115";"Mickey Mouse - Brave Little Tailor";"8";"Character";"Ruby";"Legendary";"Yes"
"116";"Minnie Mouse - Always Classy";"1";"Character";"Ruby";"Common";"Yes"
"117";"Moana - Chosen by the Ocean";"5";"Character";"Ruby";"Uncommon";"Yes"
"118";"Mulan - Imperial Soldier";"5";"Character";"Ruby";"Super Rare";"Yes"
"119";"Peter Pan - Fearless Fighter";"3";"Character";"Ruby";"Common";"No"
"120";"Pongo - Ol' Rascal";"4";"Character";"Ruby";"Common";"Yes"
"121";"Rapunzel - Letting Down Her Hair";"6";"Character";"Ruby";"Uncommon";"No"
"122";"Scar - Fiery Usurper";"4";"Character";"Ruby";"Common";"Yes"
"123";"Scar - Shameless Firebrand";"8";"Character";"Ruby";"Rare";"No"
"124";"Sergeant Tibbs - Courageous Cat";"1";"Character";"Ruby";"Common";"Yes"
"125";"Stitch - Abomination";"6";"Character";"Ruby";"Rare";"Yes"
"126";"Te Kā - The Burning One";"6";"Character";"Ruby";"Super Rare";"No"
"127";"Tigger - Wonderful Thing";"6";"Character";"Ruby";"Uncommon";"Yes"
"128";"Be Prepared";"7";"Action";"Ruby";"Rare";"No"
"129";"Cut to the Chase";"2";"Action";"Ruby";"Uncommon";"Yes"
"130";"Dragon Fire";"5";"Action";"Ruby";"Uncommon";"No"
"131";"Fan the Flames";"1";"Action";"Ruby";"Uncommon";"Yes"
"132";"He's Got a Sword!";"1";"Action";"Ruby";"Common";"Yes"
"133";"Tangle";"2";"Action";"Ruby";"Common";"Yes"
"134";"Poisoned Apple";"3";"Item";"Ruby";"Rare";"No"
"135";"Shield of Virtue";"1";"Item";"Ruby";"Uncommon";"Yes"
"136";"Sword of Truth";"4";"Item";"Ruby";"Rare";"No"
"137";"Ariel - Whoseit Collector";"4";"Character";"Sapphire";"Rare";"No"
"138";"Aurora - Briar Rose";"4";"Character";"Sapphire";"Common";"Yes"
"139";"Aurora - Dreaming Guardian";"5";"Character";"Sapphire";"Super Rare";"Yes"
"140";"Aurora - Regal Princess";"2";"Character";"Sapphire";"Uncommon";"Yes"
"141";"Belle - Inventive Engineer";"3";"Character";"Sapphire";"Uncommon";"Yes"
"142";"Belle - Strange but Special";"4";"Character";"Sapphire";"Legendary";"Yes"
"143";"Chief Tui - Respected Leader";"7";"Character";"Sapphire";"Uncommon";"Yes"
"144";"Donald Duck - Strutting His Stuff";"5";"Character";"Sapphire";"Common";"Yes"
"145";"Flounder - Voice of Reason";"1";"Character";"Sapphire";"Common";"Yes"
"146";"Gramma Tala - Storyteller";"2";"Character";"Sapphire";"Uncommon";"Yes"
"147";"Hades - Infernal Schemer";"7";"Character";"Sapphire";"Legendary";"No"
"148";"Jasmine - Disguised";"3";"Character";"Sapphire";"Common";"Yes"
"149";"Jasmine - Queen of Agrabah";"5";"Character";"Sapphire";"Rare";"Yes"
"150";"Maleficent - Sinister Visitor";"4";"Character";"Sapphire";"Common";"Yes"
"151";"Maleficent - Uninvited";"5";"Character";"Sapphire";"Rare";"Yes"
"152";"Maurice - World-Famous Inventor";"6";"Character";"Sapphire";"Rare";"Yes"
