"Id";"Name";"Type";"Chiralium";"Attack";"Defense";"Delivery";"Description";"Effect";"Behavior";"Strength"
"generic-013";"Courier of the Black Coast";"Porter";"1";"1";"2";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-014";"Scout of the Black Coast";"Porter";"1";"2";"3";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-016";"Guide of the Black Coast";"Porter";"1";"1";"3";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-018";"Lookout of the Black Coast";"Porter";"1";"1";"3";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-019";"Explorer of the Black Coast";"Porter";"1";"1";"2";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-020";"Tracker of the Black Coast";"Porter";"1";"2";"3";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-022";"Hauler of the Black Coast";"Porter";"1";"1";"3";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-024";"Pioneer of the Black Coast";"Porter";"1";"1";"3";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-025";"Wanderer of the Black Coast";"Porter";"1";"1";"2";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-026";"Rescuer of the Black Coast";"Porter";"1";"2";"3";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"porter-002";"Rain Cartographer";"Porter";"1";"1";"3";"1";"She charts paths where there was only a storm.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"equipment-001";"Echo Sensor";"Equipment";"1";"0";"2";"0";"The presence arrives before the signal.";"On the field: +1 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"1"
"generic-010";"Crossing Boots";"Equipment";"1";"0";"2";"0";"A simple tool for crossing difficult terrain.";"On the field: +1 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"1"
"generic-011";"Safety Rope";"Equipment";"1";"0";"2";"0";"A simple tool for crossing difficult terrain.";"On the field: +1 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"1"
"generic-012";"Route Map";"Equipment";"1";"0";"2";"0";"A simple tool for crossing difficult terrain.";"On the field: +1 to your delivery rolls. Equipment bonuses stack up to +3.";"6";"1"
"generic-017";"Shelter of the Black Coast";"Structure";"1";"0";"4";"1";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-023";"Bridge of the Black Coast";"Structure";"1";"0";"4";"1";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"event-001";"Timefall";"Event";"1";"0";"0";"0";"Each drop carries years that no one has lived.";"Global difficulty +1 until the next turn (range: 2–6).";"4";"1"
"event-003";"BT Territory";"Event";"1";"0";"0";"0";"Hold your breath. The silence is occupied.";"Global difficulty +1 until the next turn (range: 2–6).";"4";"1"
"generic-001";"Dense Fog";"Event";"1";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +1 until the next turn (range: 2–6).";"4";"1"
"generic-002";"Crosswinds";"Event";"1";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +1 until the next turn (range: 2–6).";"4";"1"
"generic-003";"Clear Passage";"Event";"1";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty -1 until the next turn (range: 2–6).";"5";"1"
"generic-004";"Flooded Route";"Event";"1";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +1 until the next turn (range: 2–6).";"4";"1"
"generic-005";"Lost Signal";"Event";"1";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +1 until the next turn (range: 2–6).";"4";"1"
"generic-006";"Unstable Ground";"Event";"1";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +1 until the next turn (range: 2–6).";"4";"1"
"generic-007";"Clear Skies";"Event";"1";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty -1 until the next turn (range: 2–6).";"5";"1"
"generic-008";"High Tide";"Event";"1";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +1 until the next turn (range: 2–6).";"4";"1"
"generic-009";"Unexpected Detour";"Event";"1";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +1 until the next turn (range: 2–6).";"4";"1"
"generic-015";"Echo of the Black Coast";"Entity";"1";"1";"2";"1";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-021";"Shadow of the Black Coast";"Entity";"1";"1";"2";"1";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-042";"Navigator of the Black Coast";"Porter";"2";"1";"4";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-044";"Guardian of the Black Coast";"Porter";"2";"3";"4";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-045";"Surveyor of the Black Coast";"Porter";"2";"1";"3";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-046";"Driver of the Black Coast";"Porter";"2";"2";"4";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-048";"Veteran of the Black Coast";"Porter";"2";"1";"4";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-050";"Courier of the Silent Valley";"Porter";"2";"3";"4";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
"generic-051";"Scout of the Silent Valley";"Porter";"2";"1";"3";"1";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 1 point(s).";"0";"0"
