"Planning ID";"Chiralium cost";"Name";"Type";"Description";"Effect";"Attack";"Defense";"Delivery";"Status"
"strands-q1-001";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-002";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-003";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-004";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-005";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-006";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-007";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-008";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-009";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-010";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-011";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-012";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-013";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-014";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-015";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-016";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-017";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-018";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-019";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-020";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-021";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-022";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-023";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-024";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-025";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-026";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-027";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-028";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-029";"1";"";"";"";"";"";"";"";"To create"
"strands-q1-030";"1";"";"";"";"";"";"";"";"To create"
"strands-q2-001";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-002";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-003";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-004";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-005";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-006";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-007";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-008";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-009";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-010";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-011";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-012";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-013";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-014";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-015";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-016";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-017";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-018";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-019";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-020";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-021";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-022";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-023";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-024";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-025";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-026";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-027";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-028";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-029";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-030";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-031";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-032";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-033";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-034";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-035";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-036";"2";"";"";"";"";"";"";"";"To create"
"strands-q2-037";"2";"";"";"";"";"";"";"";"To create"
"strands-q3-001";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-002";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-003";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-004";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-005";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-006";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-007";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-008";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-009";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-010";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-011";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-012";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-013";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-014";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-015";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-016";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-017";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-018";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-019";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-020";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-021";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-022";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-023";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-024";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-025";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-026";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-027";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-028";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-029";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-030";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-031";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-032";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-033";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-034";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-035";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-036";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-037";"3";"";"";"";"";"";"";"";"To create"
"strands-q3-038";"3";"";"";"";"";"";"";"";"To create"
"strands-q4-001";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-002";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-003";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-004";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-005";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-006";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-007";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-008";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-009";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-010";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-011";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-012";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-013";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-014";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-015";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-016";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-017";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-018";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-019";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-020";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-021";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-022";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-023";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-024";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-025";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-026";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-027";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-028";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-029";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-030";"4";"";"";"";"";"";"";"";"To create"
"strands-q4-031";"4";"";"";"";"";"";"";"";"To create"
"strands-q5-001";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-002";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-003";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-004";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-005";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-006";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-007";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-008";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-009";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-010";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-011";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-012";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-013";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-014";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-015";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-016";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-017";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-018";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-019";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-020";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-021";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-022";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-023";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-024";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-025";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-026";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-027";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-028";"5";"";"";"";"";"";"";"";"To create"
"strands-q5-029";"5";"";"";"";"";"";"";"";"To create"
"strands-q6-001";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-002";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-003";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-004";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-005";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-006";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-007";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-008";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-009";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-010";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-011";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-012";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-013";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-014";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-015";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-016";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-017";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-018";"6";"";"";"";"";"";"";"";"To create"
"strands-q6-019";"6";"";"";"";"";"";"";"";"To create"
"strands-q7-001";"7";"";"";"";"";"";"";"";"To create"
"strands-q7-002";"7";"";"";"";"";"";"";"";"To create"
"strands-q7-003";"7";"";"";"";"";"";"";"";"To create"
"strands-q7-004";"7";"";"";"";"";"";"";"";"To create"
"strands-q7-005";"7";"";"";"";"";"";"";"";"To create"
"strands-q7-006";"7";"";"";"";"";"";"";"";"To create"
"strands-q7-007";"7";"";"";"";"";"";"";"";"To create"
"strands-q7-008";"7";"";"";"";"";"";"";"";"To create"
"strands-q7-009";"7";"";"";"";"";"";"";"";"To create"
"strands-q7-010";"7";"";"";"";"";"";"";"";"To create"
"strands-q7-011";"7";"";"";"";"";"";"";"";"To create"
"strands-q8-001";"8";"";"";"";"";"";"";"";"To create"
"strands-q8-002";"8";"";"";"";"";"";"";"";"To create"
"strands-q8-003";"8";"";"";"";"";"";"";"";"To create"
"strands-q8-004";"8";"";"";"";"";"";"";"";"To create"
"strands-q8-005";"8";"";"";"";"";"";"";"";"To create"
"strands-q8-006";"8";"";"";"";"";"";"";"";"To create"
"strands-q8-007";"8";"";"";"";"";"";"";"";"To create"
"strands-q8-008";"8";"";"";"";"";"";"";"";"To create"
"strands-q9-001";"9";"";"";"";"";"";"";"";"To create"
